"","mech","impute_name","model","p","Cindex","sd","min","max"
"128","MNAR","Mean","CoxPH",0.6,0.638823787577686,0.0159466945520159,0.610200436022319,0.659200239933472
"129","MNAR","Mean","SRF",0,0.741059106357751,0.00728436899789444,0.726156079394703,0.749037278477164
"130","MNAR","Mean","SRF",0.2,0.729137473563577,0.00666386715852498,0.716528392626427,0.737509125397638
"131","MNAR","Mean","SRF",0.4,0.720354934738019,0.0101343987947258,0.700158735155243,0.733243354479442
"132","MNAR","Mean","SRF",0.6,0.717867786383817,0.0108479939079173,0.704068345898013,0.738944742942308
"133","MNAR","mForest","CoxLasso",0,0.654952235598463,0.0229338630518826,0.589751850287256,0.663468380495719
"134","MNAR","mForest","CoxLasso",0.2,0.647069807866095,0.016585952290066,0.602458154575198,0.660489283480539
"135","MNAR","mForest","CoxLasso",0.4,0.600166354215622,0.045603879283372,0.535525558520379,0.660512499035038
"136","MNAR","mForest","CoxLasso",0.6,0.575969624588687,0.0423391549756753,0.520435426973094,0.652340338343382
"137","MNAR","mForest","CoxPH",0,0.663541856783405,0.0109168712018805,0.635442906318589,0.671440825026311
"138","MNAR","mForest","CoxPH",0.2,0.658380305217927,0.00614190846298451,0.646197003115678,0.66864549518348
"139","MNAR","mForest","CoxPH",0.4,0.648641878607934,0.0142949625111133,0.624952775918736,0.668990051711336
"140","MNAR","mForest","CoxPH",0.6,0.635289066671607,0.0185248164304185,0.600747996853604,0.65736097800628
"141","MNAR","mForest","SRF",0,0.740181717525931,0.0089138567518008,0.724852687069805,0.750056651181798
"142","MNAR","mForest","SRF",0.2,0.728412786489041,0.00661921076060192,0.718111199114923,0.736677880264017
"143","MNAR","mForest","SRF",0.4,0.719397044161427,0.00749008895934539,0.707259286704963,0.729833353686818
"144","MNAR","mForest","SRF",0.6,0.711417492718213,0.0116853150004788,0.695630406839925,0.731083390834331
